sw_name,sw_address,sw_tel,sw_domain,sw_longitude,sw_latitude
중구노인복지관,부산광역시 중구 책방골목길3-1,051-241-2591,www.junggusilver.or.kr,129.026183,35.10414052
중구노인복지관분관,부산광역시 중구 영주로 8-1,051-462-0316,www.junggusilver.or.kr,129.0325002,35.11016227
부민노인복지관,부산광역시 서구 부용로 30,051-240-3531,bmsenior.bulgukto.or.kr,129.0180414,35.10743629
서구노인복지관,부산광역시 서구 장군산로46번길21,051-240-3541,www.woorinoin.or.kr,129.014347,35.07312369
동구노인종합복지관,부산광역시 동구 홍곡중로5번길24,051-467-7887,www.hyojason.or.kr,129.0404219,35.12580585
동구분관,부산광역시 동구 초량남로 12,051-714-6092,www.hyojason.or.kr,129.034846,35.11956188
동구자성대노인복지관,부산광역시 동구 자성로140번길32,051-632-7597,silver.bsdonggu.go.kr,129.0648411,35.13564405
영도구노인복지관,부산광역시 영도구 절영로29번길14,051-417-6344,www.youngdosenior.or.kr,129.0400929,35.09133006
영도구노인복지관분관,부산광역시 영도구 봉래길 372,051-418-6300,www.youngdosenior.or.kr,129.056705,35.09111411
부산진구 노인장애인복지관,부산광역시 부산진구 전포대로300번길 6 585-1,051-808-8090,www.onbokji.org,129.0658484,35.16404711
부산진구 노인복지관분관,부산광역시 부산진구 신암로135번길35,051-714-6090,www.onbokji.org,129.0484094,35.15146279
다사랑복합문화예술회관,부산광역시 부산진구 대학로60,051-891-1743,www.다사랑시니어.org,129.0344581,35.1504381
동래구노인복지관,부산광역시 동래구 명륜로207번길18,051-554-6252,www.dnswc.or.kr,129.0819668,35.21238058
남구노인복지관,부산광역시 남구 못골로 97-10,051-628-1291,www.ngswc.or.kr,129.093257,35.13618392
문현노인복지관,부산광역시 남구 고동골로 11,051-938-9988,www.moonsubokji.or.kr,129.070997,35.13791
실버벨노인복지관,부산광역시 북구 시랑로114번길45,051-337-5959,www.실버벨.kr,129.0086824,35.19427427
어진샘노인종합복지관,부산광역시 해운대구 재반로12번길16,051-784-8008,www.ojin.saem.or.kr,129.1275334,35.17966779
장산노인복지관,부산광역시 해운대구 좌동로 126,051-704-9141,www.haeundaejangsan.or.kr,129.1787854,35.17384305
반여분관노인복지관,부산광역시 해운대구 선수촌로207번길 79,051-529-9141,banyeo.haeundaejangsan.or.kr,129.1221252,35.21107713
사하사랑채복지관,부산광역시 사하구 사리로 35,051-293-9544,www.sahasilver.org,128.9987036,35.10300921
사하사랑채노인복지관분관,부산광역시 사하구 다대로130번길34,051-207-9544,www.sahasilver.org,128.9772442,35.09159221
신장림사랑채노인복지관,부산광역시 다대로 300번길8,051-266-8515,www.sjrsilver.or.kr,128.9761521,35.0754297
금정구노인복지관,부산광역시 금정구 청룡예전로 110,051-792-7200,www.geumjeongsilver.kr,129.0847903,35.27917441
강서구노인복지관,부산광역시 강서구 체육공원로 39,051-972-4851,www.gangseosenior.or.kr,128.9734691,35.20732663
가덕도동노인복지관,부산광역시 강서구 동선길 10,051-972-0048,www.mjnoin.ai-sw.net,128.8316513,35.05664095
명지노인종합복지관,부산광역시 강서구 명지국제13로 33,051-712-7000,www.mjnoin.ai-sw.net,128.922964,35.110585
부산광역시노인종합복지관,부산광역시 연제구 거제천로230번길18,051-853-1872,www.youngsilver.or.kr,129.0821016,35.19110671
연제구노인복지관,부산광역시 연제구 고분로 188,051-863-9988,www.yjsilver.kr,129.1027986,35.18536723
수영구노인복지관,부산광역시 수영구 황령대로 489번길83,051-759-6070,6070.bulgukto.or.kr,129.1111735,35.14004997
광안노인복지관,부산광역시 수영구 장대골로 75-8,051-715-6099,6099.bulgukto.or.kr,129.1048646,35.15956873
사상구 노인복지관,부산광역시 사상구 가야대로 196번길51,051-325-7555,www.sasang-senior.kr,128.9948438,35.14725485
사상구노인복지관 분관,부산광역시 사상구 모라로 91-8,051-317-7555,www.sasang-senior.kr,128.9858423,35.15976786
기장군노인복지관,부산광역시 기장군 기장읍 대청로22번길61,051-724-3443,www.nosasa.or.kr,129.2125973,35.23509949
기장군 노인복지관 일광 분관,부산광역시 기장군 일광면 이천리 930-2,051-792-4870,www.nosasa.or.kr,129.2367325,35.26753833
정관노인복지관,부산광역시 기장군 정관읍 정관중앙로 83-14,051-792-4920,www.nosasa.or.kr,129.179083,35.32475608
송산노인전문요양원, 부산광역시 중구 충장대로13번길  31 (중앙동4가),051-466-0007,,129.0384099,35.10820976
굿모닝노인요양원,부산광역시 중구 대영로  235 (영주동),051-468-5688,,129.0364413,35.11259417
안나노인건강센터, 부산광역시 서구 꽃마을로163번길  94-16 (서대신동3가),051-245-0035,,129.004667,35.12771243
인창서구그린빌노인요양원, 부산광역시 서구 대영로73번길  111 (동대신동3가),051-255-0904,,129.0165358,35.11514693
실버웰요양센터, 부산광역시 서구 시약로  35 (서대신동3가),051-242-8050,,129.0084847,35.11256415
송도사랑요양원, 부산광역시 서구 암남공원로  522 (암남동),051-255-3315,,129.0121373,35.07974049
인창동구노인요양원, 부산광역시 동구 고관로  34 (초량동),051-464-1004,,129.0429785,35.12238557
송원노인전문요양원, 부산광역시 동구 안창로  51 (범일동),051-637-8260,,129.0439337,35.14562439
지혜실버홈, 부산광역시 동구 범곡남로  15 (범일동),051-751-8388,,129.0547879,35.13803065
파랑새노인건강센터, 부산광역시 영도구 와치로  78 (청학동),051-412-5422,,129.0595992,35.08595082
영도요양원," 부산광역시 영도구 중리로  35 101호, 201호 (동삼동, 영도빌딩)",051-405-7888,,129.06803,35.0740233
부산사랑실버홈,"부산광역시 영도구 태종로 382, 2층(청학동, 동구빌딩)",051-853-2323,,129.065341,35.092878
부산진구노인의료센터, 부산광역시 부산진구 가야대로507번길  6 (개금동),051-894-8008,,129.0277066,35.15376771
선재노인전문요양원, 부산광역시 부산진구 월드컵대로435번길  116 (초읍동),051-803-3319,,129.0553696,35.18047218
소망노인복지센터, 부산광역시 부산진구 월드컵대로467번길  5 (초읍동),051-809-6688,,129.0502965,35.1821118
노인요양원 더불어사는집, 부산광역시 부산진구 양정로  92 (양정동),051-805-6400,,129.0799291,35.17133166
빛과소금실버홈, 부산광역시 부산진구 개금본동로  24 (개금동),051-892-8090,,129.0243423,35.15942095
애림실버웰, 부산광역시 부산진구 안창로10번길  72-25 (범천동),051-711-0228,,129.045315,35.14722597
애림요양원, 부산광역시 부산진구 안창로10번길  72-25 (범천동),051-715-5001,,129.045315,35.14722597
새롬노인요양공동생활가정,부산광역시 부산진구 백양순환로35번길 49-1(당감동),051-902-8090,,129.031942,35.166828
무량수노인요양원, 부산광역시 동래구 금정마을로  59-6 (온천동),051-552-7900,,129.0630115,35.21334194
성지노인요양원, 부산광역시 동래구 석사북로  40-1 (사직동),051-506-0033,,129.0633437,35.20177425
황전요양원, 부산광역시 동래구 구만덕로  172 (온천동),051-554-6661,,129.0549065,35.2117003
늘봄실버요양센터, 부산광역시 동래구 시실로107번길  23 (명장동),051-529-0701,,129.0872215,35.20368017
안심노인종합복지센터, 부산광역시 동래구 충렬대로86번길  5 (온천동),051-503-0002,,129.0704352,35.20657916
대열실버센터," 부산광역시 동래구 명륜로  147 7층701호 (명륜동, 동래타워)",051-557-0070,,129.0817626,35.20692904
우하요양원,부산시 동래구 명륜로 112번길 60,051-558-2477,,129.0860237,35.20279857
원광효마을요양원,부산광역시 동래구 명륜로207번길6(명륜동),051-554-4438,,129.082666,35.21261
한솔보금자리실버홈, 부산광역시 남구 동명로101번길  57-13 (용호동),051-625-7356,,129.1066942,35.12288344
령강노인종합복지센터, 부산광역시 남구 천제등로  56-4 (대연동),051-624-9351,,129.0894835,35.1313324
해피실버타운, 부산광역시 남구 동명로101번길  37-7 (용호동),051-621-5003,,129.107302,35.12158889
참사랑실버홈, 부산광역시 남구 고동골로59번길  48-12 (문현동),051-807-6700,,129.0687729,35.14178395
동진노인복지센터, 부산광역시 북구 덕천로  101-7 (덕천동),051-336-5300,,129.0154558,35.20999192
정화노인요양원, 부산광역시 북구 양달로  55 (화명동),051-332-6810,,129.0194285,35.24394979
무지개언덕노인전문요양센터, 부산광역시 북구 시랑로114번길  45 (구포동),051-338-5788,,129.0086824,35.19427427
청록만덕실버센터, 부산광역시 북구 중리로  32 (만덕동),051-337-0660,,129.0407466,35.21235483
성문소규모요양시설, 부산광역시 북구 금곡대로550번길  22 (금곡동),051-362-5508,,129.0130562,35.2563343
로뎀노인요양원, 부산광역시 북구 의성로  130 (덕천동),051-338-9112,,129.0111935,35.20903612
만덕노인요양원, 부산광역시 북구 상학산복길  145 (만덕동),051-337-1273,,129.0376413,35.21775379
연우어르신의 집, 부산광역시 북구 덕천로381번길  17-27 (만덕동),051-337-5200,,129.0441883,35.21094604
해뜨락요양원, 부산광역시 북구 덕천로381번길  14 (만덕동),051-341-1201,,129.0452171,35.21066673
편안한노인공동요양원, 부산광역시 북구 만덕대로127번길  4 (덕천동),051-334-5711,,129.0188269,35.21345194
하나노인요양원,부산광역시 북구 백양대로 1131(구포동),051-853-2580,,129.001948,35.204758
세림어르신의집, 부산광역시 해운대구 운봉길186번길  18 (반송동),051-543-5470,,129.1434667,35.23622386
은화노인요양원," 부산광역시 해운대구 반송로  832 (반송동, 지하2층, 지상5층)",051-545-2995,,129.1470716,35.22775285
안심노인요양시설, 부산광역시 해운대구 아랫반송로89번길  8 (반송동),051-543-3001,,129.1532743,35.22050087
영화소규모요양시설, 부산광역시 해운대구 재송2로90번길  25 (재송동),051-782-1183,,129.1341014,35.19170292
해운대실버홈," 부산광역시 해운대구 송정1로7번길  30-5 (송정동, 해운대실버홈)",051-702-3343,,129.1978395,35.18108323
다인실버홈, 부산광역시 해운대구 재반로84번길  88 (재송동),051-781-6862,,129.1296251,35.18800408
사랑방요양원, 부산광역시 해운대구 송정중앙로  25 4층 (송정동),051-742-2533,,129.2035192,35.18282059
송정요양원, 부산광역시 해운대구 송정광어골로  45 4층502호 (송정동),051-704-7076,,129.1970581,35.17721505
정다운 요양원, 부산광역시 해운대구 좌동로10번길  67 4층 (중동),051-747-8895,,129.1724293,35.16773938
정담시니어요양원,부산광역시 해운대구 해운대로469번나길  69 3층 (우동),051-744-6993,,129.1449626,35.16811872
인창실버웰, 부산광역시 사하구 다대로83번길  132 (괴정동),051-202-1166,,128.9841032,35.0937992
평화노인요양원, 부산광역시 사하구 승학로233번길  49 (괴정동),051-204-0008,,128.9896474,35.10423738
환희노인요양원," 부산광역시 사하구 제석로95번길  35 (당리동, 환희노인요양원)",051-203-9461,,128.9767058,35.10986812
아들요양원, 부산광역시 사하구 천해로  131 (감천동),051-202-2727,,129.0082185,35.08830952
해피빌요양원, 부산광역시 사하구 다대로83번길  111 (괴정동),051-201-3471,,128.983366,35.09359786
안심노인건강센터 사하점, 부산광역시 사하구 다대낙조2길  3 (다대동),051-292-3311,,128.9658567,35.0503898
늘푸른노인전문요양센터," 부산광역시 사하구 낙동대로216번길  3 (괴정동, 신화타워프라자 2층)",051-201-2110,,128.9926954,35.10051666
수 실버원, 부산광역시 사하구 장평로  117 (장림동),051-928-3900,,128.9726353,35.07660279
참사랑요양원," 부산광역시 사하구 다대로  235 5, 6층 (장림동)",051-266-3107,,128.9776688,35.08123157
한우리요양원, 부산광역시 사하구 원양로  400 (감천동),051-208-7500,,129.0057042,35.08628423
성산간호실버홈," 부산광역시 사하구 낙동대로216번길  3 3층 (괴정동, 신화프라자)",051-291-9911,,128.9927348,35.10073647
동산노인요양원,부산광역시 사하구 낙동대로216번길 10(괴정동),051-204-1133,,128.993175,35.100763
한울타리사하요양원,부산광역시 사하구 다대로385번안길 5(다대동),051-262-8120,,128.979128,35.068374
신망애노인요양원, 부산광역시 금정구 금샘로  66 (장전동),051-582-1664,,129.076696,35.23156397
신망애치매전문요양원, 부산광역시 금정구 금샘로  66 (장전동),051-516-7881,,129.076696,35.23156397
애광노인요양원, 부산광역시 금정구 금샘로17번안길  45 (장전동),051-582-0756,,129.074929,35.22920006
애광노인치매전문요양원, 부산광역시 금정구 금샘로17번안길  45 (장전동),051-514-7737,,129.074929,35.22920006
금정노인요양원, 부산광역시 금정구 청룡예전로43번길  25 (청룡동),051-508-8822,,129.089014,35.27773027
남광노인전문요양시설 하회원, 부산광역시 금정구 중앙대로2349번길  3 (노포동),051-508-2894,,129.1000092,35.29339563
동래노인요양원, 부산광역시 금정구 산성로  967 (장전동),051-518-8275,,129.0764701,35.23192654
안평노인건강센터, 부산광역시 금정구 금샘로  39-7 (장전동),051-518-6838,,129.0762447,35.22900807
을숙도노인요양원, 부산광역시 강서구 낙동남로991번길  54-1 (명지동),051-205-3888,,128.9238884,35.11577238
정다운 어르신의 집, 부산광역시 강서구 낙동남로483번가길  21 (녹산동),051-973-9201,,128.8685299,35.11352315
참사랑노인건강센터, 부산광역시 강서구 상덕로119번길  28-11 (강동동),051-972-1611,,128.9173604,35.19283822
행복한실버홈 요양원," 부산광역시 강서구 명지국제2로28번길  34 9층901호 (명지동, 에코팰리스)",051-206-0900,,128.9088564,35.09284604
호산노인건강센터, 부산광역시 연제구 화지로  103 (거제동),051-502-3979,,129.0661711,35.18369456
연화원 소규모요양시설(가형), 부산광역시 연제구 중앙대로1066번길  35 (연산동),051-868-0588,,129.0812602,35.18230769
큰별요양원, 부산광역시 연제구 과정로132번길  66-1 (연산동),051-710-0708,,129.1109982,35.18279536
녹원요양원 미루나무집," 부산광역시 연제구 쌍미천로84번길  99 (연산동, 3층)",051-862-3200,,129.0900311,35.17974113
녹원요양원 정금나무집," 부산광역시 연제구 쌍미천로84번길  99 (연산동, 2층)",051-862-3200,,129.0900311,35.17974113
녹원요양원 함박꽃나무집," 부산광역시 연제구 쌍미천로84번길  99 (연산동, 1층)",051-862-3200,,129.0900311,35.17974113
보경요양원(실버홈)," 부산광역시 연제구 거제대로  128 807호 (거제동, 성원맨투로빌)",051-868-9845,,129.0695759,35.17960825
시연실버홈,부산광역시 연제구 과정로276번길  22-1 (연산동),051-865-9988,,129.0977879,35.18915689
성분도어버이집, 부산광역시 수영구 수영로497번길  18 (광안동),051-752-2982,,129.1107205,35.15111417
고향의 집,부산광역시 수영구 망미제1동   461번지 5호,051-752-8393,,129.1038613,35.17708282
흰돌요양센터(목제관), 부산광역시 수영구 연수로260번길  53-1 (망미동),051-751-0561,,129.0994963,35.17008274
상락정배산실버빌,부산광역시 수영구 망미제1동   880번지 94호,051-756-0569,,129.1000513,35.17623417
은애너싱홈,부산광역시 수영구 광안제1동   499번지 8호,051-759-1228,,129.1106165,35.16444665
수영효도요양원,"부산광역시 수영구 과정로 49(망미동, 수영효도요양원)",051-760-8000,,129.107203,35.175744
부산광역시 노인건강센터," 부산광역시 사상구 학감대로39번길  129 (학장동, 부산노인건강센터)",051-310-7500,,128.996382,35.13120626
노인요양시설 보성실버센터," 부산광역시 사상구 가야대로318번길  78 1층 (주례동, 보성실버센터)",051-311-3150,,129.0077144,35.14704919
보성실버홈," 부산광역시 사상구 가야대로330번길  58-4 (주례동, 보성실버홈)",051-311-3122,,129.0088703,35.1482294
(복지) 그리스도구원선 윤금노인요양원," 부산광역시 사상구 가야대로  187 (주례동, 윤금노인요양원)",051-312-0675,,128.9929806,35.15016365
서부산노인요양원, 부산광역시 사상구 운산로  112 (괘법동),051-325-9998,,128.9879574,35.16674546
참조은실버요양원, 부산광역시 사상구 백양대로572번길  17-8 (감전동),051-316-1512,,128.9911228,35.15803909
정향행복한마을," 부산광역시 사상구 백양대로  687-23 (덕포동, 외 2필지)",051-303-1258,,128.9881877,35.16763596
정향효마을,부산광역시 사상구 엄궁북로4번길 39 (엄궁동),051-322-1250,,128.9719463,35.12750189
사상실버웰요양홈,"부산광역시 사상구 삼덕로 71, 1층(덕포동, 아가페타운)",051-301-2006,,128.98471,35.17406
기장실버홈, 부산광역시 기장군 정관읍 곰내길  574 (정관읍),051-728-7011,,129.1699594,35.31518227
효성노인건강센터,부산광역시 기장군 장안읍 기룡리  69-1,051-727-5080,,129.2614089,35.35898651
효성제일노인건강센터, 부산광역시 기장군 장안읍 오리길  109 (장안읍),051-714-3747,,129.2733574,35.36665765
선양시니어빌리지, 부산광역시 기장군 장안읍 천산로  63 (장안읍),051-711-0102,,129.2836311,35.33516414
송암노인요양원, 부산광역시 기장군 기장읍 배산로56번길  26-16 (기장읍),051-723-0315,,129.2102634,35.24954472
수연어르신의집, 부산광역시 기장군 철마면 입석길  68 (철마면),051-508-3206,,129.1168253,35.3122241
한마음노인건강센터, 부산광역시 기장군 기장읍 차성남로  91-2 (기장읍),051-722-5544,,129.2184263,35.2413955
기장실버타운, 부산광역시 기장군 기장읍 죽성로  227 (기장읍),051-723-8899,,129.2413835,35.24536227
기장노인의료센터, 부산광역시 기장군 일광면 화전2길  86-25 (일광면),051-722-6500,,129.2277195,35.2871266
다인요양원, 부산광역시 기장군 장안읍 오리길  376-28 (장안읍),051-723-6636,,129.2771782,35.34448035
반석노인건강센터, 부산광역시 기장군 장안읍 못안길  47 (장안읍),051-711-5000,,129.2602205,35.3794864
백양원, 부산광역시 기장군 일광면 칠암3길  14 (일광면),051-727-3990,,129.2573159,35.2972689
행복한어르신의집 노인요양원," 부산광역시 기장군 장안읍 기장대로  1727 (장안읍, 행복한어르신의집)",051-728-9007,,129.2510753,35.34389738
주사랑재활요양원, 부산광역시 기장군 기장읍 연화길  62 (기장읍),051-724-8181,,129.2262975,35.21909726
하서 요양원," 부산광역시 기장군 정관읍 구연3로  11 4,5,6층 (정관읍)",051-921-0777,,129.1812254,35.32082326
해피케어 노인요양공동생활가정, 부산광역시 기장군 철마면 강변길  20 (철마면),051-508-2201,,129.11201,35.30750031
효산요양원, 부산광역시 기장군 철마면 철마삼동로  103 (철마면),051-508-0675,,129.1145047,35.3138049
온누리요양원, 부산광역시 기장군 장안읍 못안길  47 (장안읍),051-714-0120,,129.2602205,35.3794864
해강노인요양공동생활가정원,"부산광역시 기장군 정관읍 용수1길 16-10, 1,2층(정관읍)",051-714-7454,,129.174588,35.329257
해빛실버타운요양원,부산광역시 기장군 기장읍 내리길 168(기장읍),051-723-8006,,129.197861,35.21706
